AID	TEAM
aid=504927	TEAM_UNM
aid=588517	TEAM_UNM
aid=1884	TEAM_UNM
aid=504471	TEAM_UNM
aid=504759	TEAM_NCGC
aid=504905	TEAM_SCRIPPS
aid=2603	TEAM_HOPKINS
aid=2608	TEAM_BROAD
aid=2694	TEAM_SCRIPPS
aid=2541	TEAM_SCRIPPS
aid=699	TEAM_UNM
aid=1868	TEAM_NCGC
aid=540290	TEAM_SCRIPPS
aid=588705	TEAM_BROAD
aid=485272	TEAM_SCRIPPS
aid=623987	TEAM_BROAD
aid=449761	TEAM_BROAD
aid=435003	TEAM_SCRIPPS
aid=2204	TEAM_VANDERBILT
aid=504384	TEAM_NCGC
aid=504776	TEAM_NCGC
aid=2673	TEAM_NCGC
aid=2548	TEAM_HOPKINS
aid=1471	TEAM_NCGC
aid=2463	TEAM_BROAD
aid=540314	TEAM_BROAD
aid=624070	TEAM_BROAD
aid=2430	TEAM_VANDERBILT
aid=588548	TEAM_BROAD
aid=602140	TEAM_UNM
aid=2005	TEAM_BURNHAM
aid=457	TEAM_BURNHAM
aid=1872	TEAM_UNM
aid=1841	TEAM_UNM
aid=504737	TEAM_NCGC
aid=586	TEAM_SCRIPPS
aid=599	TEAM_SCRIPPS
aid=2112	TEAM_NCGC
aid=624346	TEAM_NCGC
aid=504745	TEAM_NCGC
aid=2656	TEAM_BROAD
aid=2588	TEAM_NCGC
aid=1767	TEAM_VANDERBILT
aid=493227	TEAM_BROAD
aid=1762	TEAM_UNM
aid=662	TEAM_NCGC
aid=488792	TEAM_UNM
aid=2654	TEAM_HOPKINS
aid=2444	TEAM_NCGC
aid=893	TEAM_NCGC
aid=932	TEAM_SCRIPPS
aid=1731	TEAM_NCGC
aid=2066	TEAM_UNM
aid=1899	TEAM_SCRIPPS
aid=540269	TEAM_BURNHAM
aid=602389	TEAM_BROAD
aid=2597	TEAM_NCGC
aid=2198	TEAM_VANDERBILT
aid=2576	TEAM_NCGC
aid=2810	TEAM_UNM
aid=504634	TEAM_SCRIPPS
aid=504656	TEAM_NCGC
aid=504758	TEAM_NCGC
aid=2453	TEAM_BROAD
aid=600	TEAM_SCRIPPS
aid=1405	TEAM_NCGC
aid=1424	TEAM_SCRIPPS
aid=1936	TEAM_BROAD
aid=2100	TEAM_NCGC
aid=2282	TEAM_HOPKINS
aid=504348	TEAM_BROAD
aid=504863	TEAM_BURNHAM
aid=2509	TEAM_BROAD
aid=488844	TEAM_BROAD
aid=588840	TEAM_BROAD
aid=489037	TEAM_NCGC
aid=588462	TEAM_SCRIPPS
aid=2517	TEAM_NCGC
